,9618.HK,9988.HK,3690.HK,0700.HK,1211.HK,ABEV.K,LZRFY.PK
18/04/2024,98.05,67.9,97.75,304.4,205.4,2.25,9.65
17/04/2024,98.75,68,97.55,300.8,203.8,2.26,9.57
16/04/2024,98.85,68.45,98.7,301.8,205.2,2.26,9.7
15/04/2024,101.2,70.4,101.6,304.4,208.2,2.32,9.92
12/04/2024,102.4,71.65,102.1,309.6,210.2,2.35,10.61
11/04/2024,105.8,74.2,104.5,315,211.6,2.4,10.471
10/04/2024,106.4,73.95,103.8,314.2,211.4,2.38,10.9
09/04/2024,101.6,70.5,99.7,305,207.2,2.45,10.99
08/04/2024,102.3,70.4,99.4,305.4,202,2.41,10.76
03/04/2024,104.4,70.35,98.95,308.4,198.2,2.45,10.5
02/04/2024,108.7,71,101.4,309.2,202.6,2.41,10.9
28/03/2024,107.9,70.25,96.8,303.8,201.6,2.48,11.37
27/03/2024,102.2,68.8,91.1,302,202.8,2.48,11.1
26/03/2024,104.7,70.3,93.4,299.4,216,2.47,11.056
25/03/2024,103.3,70.3,93.3,288.6,211,2.45,10.82
22/03/2024,103.6,71,88.25,288.8,214,2.47,11.08
21/03/2024,109.4,72.55,92.3,291.2,216.6,2.49,10.98
20/03/2024,106.9,71.25,88.8,288.8,215,2.5,10.876
19/03/2024,106.6,71.1,89.2,285,213.8,2.47,10.69
18/03/2024,107.3,72,90.4,289.8,216.8,2.51,10.45
15/03/2024,104.5,71.9,89.4,283.8,210.2,2.5,10.538
14/03/2024,106.4,73.45,92.9,289.2,212.6,2.52,10.85
13/03/2024,106.3,74,94.35,290.6,209.4,2.53,11.13
12/03/2024,106.3,74.85,93.4,290.8,209.6,2.56,10.75
11/03/2024,98.55,72.8,89.2,278.6,197.4,2.55,10.68
08/03/2024,92.6,71.25,84.7,270,188,2.56,10.595
07/03/2024,94.55,70.7,85.4,271,188.4,2.55,10.57
06/03/2024,89.2,71.85,88.7,274.6,192.9,2.54,10.364
05/03/2024,82.75,69.7,86.35,268.2,191.1,2.55,10.2475
04/03/2024,89.5,72.1,91.5,276.2,192.6,2.5,10.29
01/03/2024,90.55,73.05,88.4,277.4,194.7,2.48,10.55
29/02/2024,89.05,72.9,79.8,277.2,193.3,2.49,10.61
28/02/2024,91.2,74.25,78.35,277,192.9,2.69,10.777
27/02/2024,93.75,75.5,81.65,284.6,197.9,2.66,10.95
26/02/2024,93.05,74.15,81.15,287.2,187.9,2.59,10.43
